================================================================================
Dispositivo de Treinamento: cuda (NVIDIA GeForce RTX 3050 Laptop GPU)
VRAM Total Disponível: 3767.6 MB
================================================================================
Configuração:
 - Épocas: 50000
 - Pesos: PDE=1.0, IC=20.0, Ext_BC=20.0, Holes_BC=40.0
 - Amostragem Total por Passo: 46,000 pontos
================================================================================
Colocação pronta:
  - PDE Interior + Camada Limite: 30,000
  - Condição Inicial (t=0):       6,000
  - Borda Externa (u=1):          4,000
  - Bordas dos Furos (u=0):       6,000
  - Conjunto Teste Independente:  50,000
[*] Encontrado checkpoint em ./paper2_heat_irregular_domain/models/pinn_heat_holes_checkpoint.pth. Carregando...
/home/warley/vault/research/eu/./paper2_heat_irregular_domain/src/train_heat_holes_2d.py:229: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  checkpoint = torch.load(checkpoint_path, map_location=device)
[*] Retomando treinamento a partir da época 2001!

================================================================================
INICIANDO TREINAMENTO DA PINN (50,000 ÉPOCAS) NA GPU...
================================================================================
/home/warley/.venv/pinn-gpu/lib/python3.11/site-packages/torch/autograd/graph.py:825: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at ../aten/src/ATen/cuda/CublasHandlePool.cpp:135.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
[ 2480/50000] Loss: 2.9485e-01 | PDE: 8.5489e-02 | Holes: 2.6627e-04 | Ext: 7.4433e-03 | ms/ep: 105.7 | LR: 9.94e-04 | ETA: 83.7min
[ 2490/50000] Loss: 2.9247e-01 | PDE: 8.4496e-02 | Holes: 2.6217e-04 | Ext: 7.4037e-03 | ms/ep: 103.9 | LR: 9.94e-04 | ETA: 82.2min
[ 2500/50000] Loss: 2.9013e-01 | PDE: 8.3538e-02 | Holes: 2.5937e-04 | Ext: 7.3523e-03 | ms/ep: 104.1 | LR: 9.94e-04 | ETA: 82.4min
[ 2510/50000] Loss: 2.8783e-01 | PDE: 8.2599e-02 | Holes: 2.5646e-04 | Ext: 7.3031e-03 | ms/ep: 109.5 | LR: 9.94e-04 | ETA: 86.7min
[ 2520/50000] Loss: 2.8556e-01 | PDE: 8.1683e-02 | Holes: 2.5391e-04 | Ext: 7.2520e-03 | ms/ep: 112.1 | LR: 9.94e-04 | ETA: 88.7min
[ 2530/50000] Loss: 2.8337e-01 | PDE: 8.0823e-02 | Holes: 2.5470e-04 | Ext: 7.1740e-03 | ms/ep: 104.0 | LR: 9.94e-04 | ETA: 82.3min
[ 2540/50000] Loss: 2.8883e-01 | PDE: 8.0647e-02 | Holes: 3.9452e-04 | Ext: 6.8249e-03 | ms/ep: 104.2 | LR: 9.94e-04 | ETA: 82.4min
[ 2550/50000] Loss: 8.5277e-01 | PDE: 9.2881e-02 | Holes: 9.4454e-03 | Ext: 9.4024e-03 | ms/ep: 104.0 | LR: 9.94e-04 | ETA: 82.2min
[ 2560/50000] Loss: 2.8955e-01 | PDE: 7.9560e-02 | Holes: 4.3409e-04 | Ext: 6.9661e-03 | ms/ep: 104.2 | LR: 9.94e-04 | ETA: 82.4min
[ 2570/50000] Loss: 3.4013e-01 | PDE: 8.1788e-02 | Holes: 8.4969e-04 | Ext: 9.3367e-03 | ms/ep: 103.9 | LR: 9.94e-04 | ETA: 82.1min
[ 2580/50000] Loss: 3.0313e-01 | PDE: 7.6715e-02 | Holes: 5.4863e-04 | Ext: 8.3052e-03 | ms/ep: 104.1 | LR: 9.94e-04 | ETA: 82.3min
[ 2590/50000] Loss: 2.8221e-01 | PDE: 7.6281e-02 | Holes: 3.4920e-04 | Ext: 7.4635e-03 | ms/ep: 103.8 | LR: 9.93e-04 | ETA: 82.0min
[ 2600/50000] Loss: 2.7059e-01 | PDE: 7.5458e-02 | Holes: 2.4091e-04 | Ext: 7.0644e-03 | ms/ep: 104.2 | LR: 9.93e-04 | ETA: 82.3min
[ 2610/50000] Loss: 2.6903e-01 | PDE: 7.5050e-02 | Holes: 2.5652e-04 | Ext: 6.7684e-03 | ms/ep: 103.9 | LR: 9.93e-04 | ETA: 82.1min
[ 2620/50000] Loss: 2.6606e-01 | PDE: 7.4023e-02 | Holes: 2.3913e-04 | Ext: 6.7435e-03 | ms/ep: 104.3 | LR: 9.93e-04 | ETA: 82.3min
[ 2630/50000] Loss: 2.6412e-01 | PDE: 7.3167e-02 | Holes: 2.2037e-04 | Ext: 6.8739e-03 | ms/ep: 103.9 | LR: 9.93e-04 | ETA: 82.0min
[ 2640/50000] Loss: 2.6204e-01 | PDE: 7.2466e-02 | Holes: 2.2350e-04 | Ext: 6.7723e-03 | ms/ep: 104.1 | LR: 9.93e-04 | ETA: 82.2min
[ 2650/50000] Loss: 2.6019e-01 | PDE: 7.1898e-02 | Holes: 2.2192e-04 | Ext: 6.7000e-03 | ms/ep: 104.1 | LR: 9.93e-04 | ETA: 82.2min
[ 2660/50000] Loss: 2.5835e-01 | PDE: 7.1165e-02 | Holes: 2.1772e-04 | Ext: 6.6977e-03 | ms/ep: 104.2 | LR: 9.93e-04 | ETA: 82.2min
[ 2670/50000] Loss: 2.5654e-01 | PDE: 7.0552e-02 | Holes: 2.1678e-04 | Ext: 6.6365e-03 | ms/ep: 104.0 | LR: 9.93e-04 | ETA: 82.1min
